Author Name,University
Kamil  Dimililer,Near East University
Davide Ciucci,University of Milano-Bicocca
Josep R. Casas,Polytechnic University of Catalonia
Alberto Montresor,University of Trento
Clyde W Holsapple,Gatton College of Business and Economics
Athanasios N. Nikolakopoulos,University of Minnesota Twin Cities
Sébastien Mosser,McMaster University
Jodi Schneider,University of Illinois Urbana-Champaign
Hanêne Ben-Abdallah,King Abdulaziz University
Edy Portmann,University of Fribourg
Jay  Prakash,Singapore University of Technology and Design
Ji Li,University of Southern California
Mohamed Khalil Labidi,University of Tunis El Manar
Yi-An Lai,National Taiwan University
Jian Min Jiang,Chengdu University of Information Technology
Hannu T. T. Toivonen,University of Helsinki
G. A. Wiggins,Free Universities of Brussels
Ping Xiao,University of Helsinki
Nick McKeown,Stanford University
Kevin Duh,Johns Hopkins University
Javier Gonzalez-Sanchez,"California Polytechnic State University, San Luis Obispo"
Huda Khayrallah,Johns Hopkins University
Junjue  Wang,Carnegie Mellon University
Asif Ahmed Neloy,North South University
Azlan Awang,PETRONAS University of Technology
Long  Wang,National University of Defense Technology China
Uwe M. Borghoff,Bundeswehr University Munich
Lukas Kammerer,"University of Applied Sciences Upper Austria, School of Informatics, Communications and Media"
Wei Tan,IBM Thomas J. Watson Research Center
Brian  Wheatman,Johns Hopkins University
Rina Dechter,"University of California, Irvine"
Azer Bestavros,Boston University
Babak  Loni,"ING Group, Netherlands"
Radoslaw Niewiadomski,University of Genoa
Bogdan Babych,University of Leeds
Juan L. Aragón,University of Murcia
Clodoaldo Aparecido de Moraes Lima,University of São Paulo
Luis M Camarinha-Matos,NOVA University of Lisbon
Dilip Datta,Tezpur University
Nizar Faisal Alkayem,Hohai University
Selasi  Kwashie,Charles Sturt University
Ran Canetti,Boston University
Sampath Kumar Kannan,University of Pennsylvania
Janet Vertesi,Princeton University
Berk  Ustun,"University of California, San Diego"
Andrew D. Selbst,"University of California, Los Angeles"
Varun Gupta,Northwestern University
Ziwen Wang,Northwestern University
Tomas  Barton,Czech Technical University in Prague
Tsuyoshi IDÉ,IBM Research
L. Cardelli,University of Oxford
T. Osogami,IBM Research - Tokyo
Börje F Karlsson,Microsoft Research Asia
Arslan Munir,Kansas State University
Malik Ghallab,CNRS National Centre for Scientific Research
Cheng Soon Ong,Commonwealth Scientific and Industrial Research Organisation
Antonio Daniele,University of London
Xiao  Shu,McMaster University
Han Cai,Shanghai Jiao Tong University
Prince M Abudu,University of Oxford
Weiran Huang,Tsinghua University
Yaman  Kumar,"University at Buffalo, The State University of New York"
Qisheng  Jiang,University of Science and Technology of China
S. H.  Shah Newaz,Universiti Teknologi Brunei
Rigas Kouskouridas,Imperial College London
Tobias Senst,Technical University of Berlin
Cedric Nugteren,TomTom International BV
Baladitya  Yellapragada,"University of California, Berkeley"
George De Ath,University of Exeter
Joy Bose,"Samsung Electronics, India Software Operations Ltd."
Felix Wolf,Technical University of Darmstadt
S.-Kazem Shekofteh,Ferdowsi University of Mashhad
Gokarna Sharma,Kent State University
Fabrice Guillet,Nantes University
David Edward Breen,Drexel University
Jesus Labarta,Barcelona Supercomputing Center
A. K. Bandara,The Open University
Minghe Sun,Carlos Alvarez College of Business
Bashar Nuseibeh,The Open University
Mohamad Ivan Fanany,University of Indonesia
Hiroyuki Tomiyama,Ritsumeikan University Biwako-Kusatsu Campus
Yu  Hua,Huazhong University of Science and Technology
Christophe Hurter,University of Toulouse
F. Zamora-Martínez,Universidad Cardenal Herrera-CEU
Mario Aldape-Pérez,National Polytechnic Institute
Amel Bennaceur,The Open University
Daniel  Fernández-Lanvin,University of Oviedo
Mohammad Mahdi Dehshibi,Carlos III University of Madrid
Ghazanfar Latif,Prince Mohammad Bin Fahd University
Ibrahim Bounhas,National Institute of Applied Sciences and Technology
Mojtaba Baghani,University of Tehran
Ashish Saini,Dayalbagh Educational Institute
Muthu Kumar Chandrasekaran,SRI International
Veenu Bhasin,University of Delhi
Vikram Mehta,The Open University
Andreas Kunft,Technical University of Berlin
Awatif Ragmani,Aïn Chock Faculty of Sciences
Khaled  Shaaban,Qatar University
Pritika  Bahad,"Devi Ahilya Vishwavidyalaya, Indore"
Athanasios Bamis,"Amazon.com, Inc."
Khai Nhut Truong,University of Toronto
Lucas Dixon,Google LLC
Aditya Virmani,Microsoft Research
Nithya Sambasivan,Google LLC
Christian Lengauer,University of Passau
Jeffrey V. Nickerson,Stevens Institute of Technology
Beth Plale,Indiana University Bloomington
Victor Pankratius,Massachusetts Institute of Technology
Craig A. Knoblock,Information Sciences Institute
Stefan Seidel,University of Liechtenstein
Andreas Hofmann,MIT Computer Science & Artificial Intelligence Laboratory
Jonathan Sprinkle,Vanderbilt University
F. C. Langbein,Cardiff University
Rahul Kumar Bhadani,Vanderbilt University School of Engineering
Tzanis  Anevlavis,"University of California, Los Angeles"
Li Lu,University of Electronic Science and Technology of China
Jane Holland,University of Galway
Hans Peter Zorn,inovex GmbH
Adrian  Nilsson,Fraunhofer-Chalmers Research Centre for Industrial Mathematics
Simon  Smith,Fraunhofer-Chalmers Research Centre for Industrial Mathematics
Jie  Xue,University of Minnesota Twin Cities
Dan B Goldman,Adobe Inc.
David Kim,Google LLC
Florian Schaub,"University of Michigan, Ann Arbor"
Ping-Hsuan Han,National Taipei University of Technology
Itay Kezurer,Weizmann Institute of Science Israel
Anastasia Tkach,Google LLC
Jiahao Geng,Zhejiang University
Rita Orji,Dalhousie University
Weihui Dai,Fudan University
Yelena Mejova,Institute for Scientific Interchange Foundation
Yu Zhou,Nanjing University
Francesco Paterna,Intel Corporation
Lotfi ABDi,"University of Tunis El Manar, National School of Engineers of Tunis"
Ujjwal Gupta,Intel Corporation
Ashok Kumar Dwivedi,Maulana Azad National Institute of Technology
Sreelekha S,Indian Institute of Technology Bombay
Andreas Schreiber,German Aerospace Center
Noriko Nagata,Kwansei Gakuin University
Peter Wozniak,University of Applied Sciences Offenburg
Abdullah M. Zyarah,The University of Texas at San Antonio
Ted Gyle Lewis,Naval Postgraduate School
Kihong Heo,Korea Advanced Institute of Science and Technology
Erik  Andersen,Cornell Ann S. Bowers College of Computing and Information Science
Reinaldo Bezerra Braga,"Federal Institute of Education, Science and Technology of Ceará, Fortaleza"
Wingyan Chung,University of Central Florida
Pushpendra Singh,"Indraprastha Institute of Information Technology, Delhi"
Haroon Rashid,"Indraprastha Institute of Information Technology, Delhi"
Jie Gao,Rutgers University–New Brunswick
Alexandre Sorokine,Oak Ridge National Laboratory
Gautam Thakur,Oak Ridge National Laboratory
Jiang Xu,Hong Kong University of Science and Technology
Guojie Luo,Peking University
Joseph L. Greathouse,"Advanced Micro Devices, Inc."
Dah Ming Chiu Chiu,Chinese University of Hong Kong
Kangsoo  Kim,University of Calgary
Ruth Iris Bahar,Colorado School of Mines
Mojgan  Hashemian,University of Lisbon
Job van der Schalk,Cardiff University
Jens Krinke,University College London
Colin S. Gordon,Drexel University
Benjamín Hernández,National Autonomous University of Mexico
Walid Maalej,University of Hamburg
Rajiv Singh,Banasthali Vidyapith
Vishal Sharma,Queen's University Belfast
Yuanyuan Feng,The University of Vermont
Carlos José Pereira de Lucena,Pontifical Catholic University of Rio de Janeiro
Daisuke Sato,"Daikin Industries, Ltd."
Salvatore Trani,Italian National Research Council
Shunki  Takami,University of Tsukuba
Farnoush Banaei Kashani,University of Colorado Denver
V. Kumar,University of Pennsylvania
Raghda Alqurashi,University of Colorado Denver
Jonas Löwgren,Linköping University
Philip van Allen,ArtCenter College of Design
I. Caragiannis,Aarhus University
Faraón Llorens-Largo,University of Alicante
Wissal  Farsal,Hassan II University of Casablanca
Shaun Bangay,Deakin University
Dimitrios Tsoumakos,National Technical University of Athens (NTUA)
Nectarios Koziris,National Technical University of Athens (NTUA)
R. Rastogi,Amazon Development Centre (India) Pvt. Ltd.
Yinghui Wu,Pacific Northwest National Laboratory
Richard Edwin Stearns,University of Virginia
Balázs Hidasi,Gravity Research & Development Ltd
Donghyeon Kim,Korea University
Radityo Eko Prasojo,Free University of Bozen-Bolzano
Yaroslav Nechaev,Bruno Kessler Foundation
Qi  Song,Washington State University Pullman
Ching-Lun Tai,Georgia Institute of Technology
Vanessa Ines Cedeno-Mieles,Litoral Polytechnic School
Nikita Borisov,University of Illinois Urbana-Champaign
Nicholas J Hopper,University of Minnesota Twin Cities
Johannes Kinder,Ludwig-Maximilians-University Munich
Rob G. Jansen,U.S. Naval Research Laboratory
Jakub Breier,Temasek Laboratories @ NTU
Makoto P Kato,University of Tsukuba
Gokul  Shrinivas,
Lyn Chao-ling Chen,Fu Jen Catholic University
Feargus  Pendlebury,University College London
Zhihao Jiang,ShanghaiTech University
Francesco Pace,EURECOM- Graduate School and Research Center in Digital Sciences
Jari Jussila,HAMK University of Applied Sciences
Tuo  Yu,University of Illinois Urbana-Champaign
Htet Myet Lynn,Chosun University
Matt Huenerfauth,Rochester Institute of Technology
Yugo  Nakamura,Kyushu University
Larwan Berke,Rochester Institute of Technology
Sushant Kafle,Rochester Institute of Technology
Sedeeq  Al-Khazraji,University of Mosul
Raian Ali,Hamad Bin Khalifa University
Ali M Charara,University of Technology of Compiègne
Paul Dourish,Donald Bren School of Information & Computer Sciences
Michele Zanella,Politecnico di Milano
Matias Richart,Universidad de la Republica
José  de Jesús Rubio,National Polytechnic Institute
T. Yonezawa,Keio University
M. H. Alizai,Lahore University of Management Sciences
Alina Zare,University of Florida
Nicolas  Weber,NEC Laboratories Europe GmbH
Robert LiKamWa,Arizona State University
Bruno Bodin,National University of Singapore
Moaz Reyad,DePaul University
Jinwang  Feng,Northwestern Polytechnical University
Alpha  Renner,University of Zurich
Rudy Adipranata,Petra Christian University
Christoph Lutz,Norwegian School of Management BI
Tiago Oliveira Cunha,University of Porto
M. Hassan Shirali-Shahreza,Amirkabir University of Technology
Gernot Heiser,UNSW Sydney
Gleb Radchenko,Silicon Austria Labs GmbH
Alexandru Tugui,
Birsen Donmez,University of Toronto
Cristina  Silvano,Politecnico di Milano
Rodrigo Bonifácio,University of Brasilia
Kai Tuuri,University of Jyväskylä
Oskari Koskela,University of Jyväskylä
Christoph Becker,University of Mannheim
Xing Tan,York University
Roland Kluge,Technical University of Darmstadt
Marco Miozzo,Centre Tecnológic de Telecomunicacions de Catalunya
George Papandreou,Google LLC
Ralph Robert Martin,Cardiff University
Dipto Das,University of Colorado Boulder
Rajvi Shah,"International Institute of Information Technology, Hyderabad"
Petr Kellnhofer,Delft University of Technology
Sultanah M. Alshammari,King Abdulaziz University
Shohei  Yamamoto,The University of Tokyo
Eunji Chong,Georgia Institute of Technology
Daniil Chivilikhin,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO"
Roberto Giacobazzi,The University of Arizona
Dominic A. Orchard,University of Kent
Mistral Contrastin,University of Cambridge
Claudia Schulz,Imperial College London
Angélica  De Antonio,Technical University of Madrid
Francisco J. Martinez-Ruiz,Autonomous University of Zacatecas
Jürgen Bernard,University of Zurich
Mohamed Hosni,University Moulay Ismaïl
Max Schröder,University of Rostock
Meghyn  Bienvenu,University of Bordeaux
Costas Vassilakis,National Technical University of Athens (NTUA)
Luis Yoichi Morales Saiki,Nagoya University
David  Berend,Nanyang Technological University
Jorrit Kronjee,Open University of the Netherlands
Katrin Wolf,University of Stuttgart
Patricia Morreale,Kean University
Ben Y. Zhao,The University of Chicago
Luca Soldaini,The Allen Institute for Artificial Intelligence
Andreas Kerren,"Linnaeus University, Kalmar"
Kostiantyn Kucher,Linköping University
Ming Ouhyoung,National Taiwan University
Rob Pieké,
Jared M Johnson,Google LLC
Y. Shima,Meisei University
Michael J Ludwig,University of Minnesota Twin Cities
Arun Kulshreshth,University of Louisiana at Lafayette
S. N. Nikolopoulos,Centre for Research and Technology-Hellas
Johan Garcia,Karlstad University
L. N. Tokarchuk,Queen Mary University of London
Riemer van Rozen,Center for Mathematics and Computer Science - Amsterdam
Liang Wang,University of Cambridge
Li Chen,Hong Kong University of Science and Technology
Mahmoud A Mohamed,Paderborn University
J. Díez,University of Oviedo
Cyril Concolato,Paris-Saclay University
Jean Le Feuvre,Polytechnic Institute of Paris
Pete Burnap,Cardiff University
Niels  van Berkel,Aalborg University
Jonas  Oppenlaender,Elisa Corporation
Jaroslav Krivanek,Charles University
Yağız  Aksoy,MIT Computer Science & Artificial Intelligence Laboratory
Wanchao  Su,City University of Hong Kong
Laura M Pfeifer,Google LLC
James Larus,EPFL
K. Skadron,University of Virginia
Adwait Ratnaparkhi,Yahoo Research Labs
Edoardo Airoldi,Fox School of Business
Xiaoqian Wang,University of Pittsburgh
Elaheh Sadredini,"University of California, Riverside"
Nina  Grgić-Hlača,Max Planck Institute for Software Systems
Jiawei  Li,Soochow University
Jeanna Neefe Matthews,Clarkson University
Çağrı B. Aslan,
Roberto Theron,University of Salamanca
F. J. García-Peñalvo,University of Salamanca
Juan Cruz-Benito,IBM Thomas J. Watson Research Center
Tom Hope,Hebrew University of Jerusalem
Aniket (Niki) Kittur,Carnegie Mellon University
Haiqin Yang,The Hang Seng University of Hong Kong
Ilya Loshchilov,University of Freiburg
Shuai Zhang,UNSW Sydney
Andreea  Hossmann,Swisscom AG
C. Lopes,"University of California, Irvine"
Anna Feldman,Montclair State University
Serge Gaspers,UNSW Sydney
Shaddin  Dughmi,University of Southern California
Hendrik Buschmeier,Bielefeld University
Vivek Nallur,University College Dublin
M Fischbach,Julius-Maximilian University of Würzburg
H. Kuchen,University of Münster
Dean F. Hougen,Gallogly College of Engineering
Leon  Reznik,Golisano College of Computing and Information Sciences
Leslie F. Sikos,Edith Cowan University
Christian Servin,El Paso County Community College
Mohamed  Alloghani,Abu Dhabi Health Services Company
Mariapia  Marchi,Esteco s.r.l.
Jared M. Moore,Grand Valley State University
Luiz Otavio V.B. Oliveira,Federal University of Minas Gerais
Sander  Van Rijn,Leiden University
Christian Kreiner,Graz University of Technology
Maurice D Mulvenna,Ulster University
Joseph Corneli,Oxford Brookes University
Johannes Iber,Graz University of Technology
Michael Krisper,Pro2Future GmbH
Ansari Saleh Ahmar,Universitas Negeri Makassar
Xupeng  Wen,National University of Defense Technology China
Nicholas Freitag McPhee,University of Minnesota Morris
Hanna  Schäfer,University of Konstanz
Andreas S Steyven,Edinburgh Napier University
Hung-Kuang Chen,National Chin-Yi University of Technology
Daniel Fabbri,Vanderbilt University Medical Center
Haruna Chiroma,University of Hafr Al-Batin
Adnan Akhunzada,University of Doha for Science and Technology
Marcelo M. Wanderley,McGill University
Aisling Kelliher,University of Southern California
Yu Su,"University of California, Santa Barbara"
Ismail Badache,Computer Science and Systems Laboratory
Markus Rokicki,Gottfried Wilhelm Leibniz University Hannover
Hongwei Liang,Simon Fraser University
J. Bejar,Polytechnic University of Catalonia
Sergio Ilarri,University of Zaragoza
Alexander Lerch,Georgia Institute of Technology
Srujana Gattupalli,The University of Texas at Arlington
Evropi  Stefanidi,University of Bremen
Emanuel Onica,Alexandru Ioan Cuza University
Nima Karimpour Darav,"Advanced Micro Devices, Inc."
Alon  Amid,"University of California, Berkeley"
Grigori Fursin,Paris-Saclay University
Yvonne Jung,Fulda University of Applied Sciences
N. Mangathayaru,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology
James Lewis McCann,Carnegie Mellon University
Weimao Ke,Drexel University
Aziz  Mohaisen,University of Central Florida
Samer  Hassan,Complutense University of Madrid
Jules Françoise,Paris-Saclay University
Nikhil Jain,NVIDIA
Hartmut Schmeck,Karlsruhe Institute of Technology
Benjamin Chi Chung Lee,University of Pennsylvania
Huiping  Cao,New Mexico State University
Suraj Raghuraman,The University of Texas at Dallas
Kaibin Bao,Karlsruhe Institute of Technology
Pedro Garcia Freitas,University of Brasilia
Emmanouil Potetsianakis,"Xiaomi, Inc."
Thomas  de Lange,Sahlgrenska University Hospital
Jorge Ángel González Ordiano,Karlsruhe Institute of Technology
Alexandra DeLucia,Rollins College
Oliver Staadt,University of Rostock
Mario Lassnig,European Organization for Nuclear Research
Briane Paul V. Samson,De La Salle University
Jörg Ott,Technical University of Munich
Jukka Manner,Aalto University
Toshiyuki Takezawa,Hiroshima City University
Vaibhav Bajpai,Hasso Plattner Institute for Digital Engineering gGmbH
Baohan Xu,Fudan University
Danielo G. Gomes,Federal University of Ceara
Orna Agmon Ben-Yehuda,University of Haifa
Jason Mars,"University of Michigan, Ann Arbor"
Dipankar Dasgupta,University of Memphis
D. P. Hale,Culverhouse College of Business
Yutaka  Akiyama,Tokyo Institute of Technology
Paul R Smart,University of Southampton
David Bowes,"School of Computing and Communications, Lancaster University"
Henrik Blunck,Bochum University of Applied Sciences
Vitor Freitas,University of Oulu
J. Ramon Gil-Garcia,State University of New York Albany
Rodrigo  Sandoval-Almazán,Autonomous University of the State of Mexico
Claudia Cappelli,Rio de Janeiro State University
Shah Rukh Humayoun,University of Kaiserslautern-Landau
Dietrich Kammer,Dresden University of Applied Sciences
Ragaad Altarawneh,University of Kaiserslautern-Landau
Altair Mendes,Federal University of Rio Grande do Norte
Diomidis Spinellis,Athens University of Economics and Business
Erik J. Linstead,Chapman University
Alper Sen,Bogazici University
Mathias Landhäußer,Karlsruhe Institute of Technology
Dave Towey,University of Nottingham Ningbo China
Jannik Strötgen,Robert Bosch GmbH
L. Skorin-Kapov,"University of Zagreb, Faculty of Electrical Engineering and Computing"
Martín Varela,EXFO
Márcio Eduardo Delamaro,University of São Paulo
Roland Geraerts,Utrecht University
Shawna Thomas,Texas A&M University
Matthew Kai Johnson-Roberson,"University of Michigan, Ann Arbor"
Swathi Jagannath,Drexel University
Steve Tonneau,The University of Edinburgh
Guangli Li,Jilin University
Jordan R. Green,
Alain Juarez-Perez,UC Merced
Sébastien Laborie,University of Pau and Pays de l'Adour
Fahed Awad,Jordan University of Science and Technology
Yassine Al-Amrani,Abdelmalek Essaâdi University
Marco Gavanelli,University of Ferrara
W. S. Saba,Northeastern University
Dilara  Keküllüoğlu,The University of Edinburgh
Yoelle Maarek,"Amazon.com, Inc."
Chuanxiong Guo,ByteDance Ltd.
Manjunath Kudlur,Google LLC
Nicholas J. Higham,The University of Manchester
Greg Ganger,Carnegie Mellon University
Ingemar J. Cox,University of Copenhagen
Sudipta Sengupta,"Amazon.com, Inc."
Derek G. Murray,Google LLC
Kuan-Ting Chen,National Taiwan University
Lionel Médini,Image Computing and Information Systems Laboratory
Kuldeep Yadav,Xerox Research Center India
Marc-Oliver Pahl,Institute for Research in Computer Science and Random Systems
Vasileios Lampos,University College London
Sudeshna Roy,Indian Institute of Technology Madras
Lisette  Espín-Noboa,Central European University
Claudia  De Los Rios Perez,Curtin University
Sunil  Mohan,"eBay, Inc."
Shivam Sharma,Indian Institute of Technology Roorkee
Akbar  Hussain,"International Islamic University, Islamabad"
Matthew Roughan,The University of Adelaide
Kenjiro  Cho,Internet Initiative Japan Inc.
Hideaki Kuzuoka,The University of Tokyo
Mirko Gelsomini,University of Applied Sciences and Arts of Southern Switzerland
Marzia  Degiorgi,Politecnico di Milano
Giulia Leonardi,Politecnico di Milano
Nadine Couture,University of Bordeaux
Wenchao Huang,University of Science and Technology of China
Anna Karin Brünstrom,Karlstad University
George Tzanetakis,University of Victoria
Kenneth W. Church,International Business Machines
Hannes Gamper,Microsoft Research
Erik Marchi,Technical University of Munich
Andrew Rosenberg,IBM Thomas J. Watson Research Center
Yun Wang,Carnegie Mellon University
Brandon M Booth,University of Southern California
Ilya Markov,University of Amsterdam
"Suzanne J. Matthews, Ph.D.",The U.S. Military Academy at West Point
Kleber O. Andrade,University of São Paulo
Rahul  Agrawal,Microsoft Corporation
Thijs Scheepers,University of Amsterdam
M. Torchiano,Polytechnic of Turin
Stefan Hanenberg,University of Duisburg-Essen
Marcelo Garcia Manzato,University of São Paulo
Joshua Sunshine,Carnegie Mellon University
J. Mueller,University of Kassel
Christos Kouroupetroglou,University of Macedonia
Mikaela Law,The University of Auckland
Krzysztof Walczak,Poznań University of Economics and Business
Emily L. Spratt,Princeton University
Jarno Eerola,
Benoit Seguin,EPFL
Hussein Al-Zoubi,Yarmouk University
Muhammad Al-Qurishi,King Saud University
José Augusto Baranauskas,University of São Paulo
Chu Luo,University of Melbourne
Jan Ole Johanssen,Technical University of Munich
Florian Schaule,Technical University of Munich
Yu  Shi,Purdue University
Ali Khodadadi,Sharif University of Technology
Stefano Sebastio,University of Parma
Miftah Bedru Jamal,Changchun University of Science and Technology
Chieko Asakawa,Miraikan - The National Museum of Emerging Science and Innovation
Hironobu Takagi,IBM Research - Tokyo
João Guerreiro,University of Lisbon
Diego  Gómez-Zará,Northwestern University
Qiyu Zhi,University of Notre Dame
Javier  Arroyo,Complutense University of Madrid
Thies Pfeiffer,Hochschule Emden/Leer
Maria G. C. Pimentel,University of São Paulo
Mohamed S. Kamel,University of Waterloo
David M. W. Powers,Flinders University
Daniela  Godoy,National University of Buenos Aires Central Province
Ramon Brena,Monterrey Technology
Rahul Singh,San Francisco State University
E. Benetos,Queen Mary University of London
Philippe du Jardin,EDHEC Business School
Tania Pouli,Technicolor Inc.
Ehsan Jafarian,University of Tehran
Hossein Bobarshad,University of Tehran
Robert P. Biuk-Aghai,University of Macau
Yang Liu,"Key Lab of High Confidence Software Technologies, Ministry of Education"
Thorsten  Schodde,Bielefeld University
Abien Fred Agarap,De La Salle University
Robert Labs,University of Lincoln
Fan  Yang,Ocean University of China
Ana Mihut,Newcastle University
Thomas R Groß,"Swiss Federal Institute of Technology, Zurich"
Michael  Pradel,University of Stuttgart
Douglas S. Blank,Bryn Mawr College
Charles Robert Wallace,Michigan Technological University
Asit K. Mishra,NVIDIA
Chang Gao,University of Zurich
Yue Zhao,NC State University
Amir Mohamad Mashayekh,University of Tehran
Hwee Tou Ng,NUS Graduate School
G. Satta,University of Padua
Klaus Berberich,Saarbrücken University of Applied Sciences
Steven Bethard,The University of Arizona
Yen Kuang Chen,Intel Corporation
Idan Szpektor,Google LLC
Andrew Yates,University of Amsterdam
Bor-Yuh Evan Chang,University of Colorado Boulder
Abbas Mehrabian,McGill University
Xuezhi Cao,Shanghai Jiao Tong University
De Wang,The University of Texas at Arlington
Yue Cao,Microsoft Research Asia
Hou-Ning Hu,National Tsing Hua University
Abhishek Kumar Singh,"International Institute of Information Technology, Hyderabad"
Md Mehrab Tanjim,"University of California, San Diego"
Farig Sadeque,BRAC University
Weiyu  Cheng,Shanghai Jiao Tong University
Triet Huynh Minh Le,The University of Adelaide
Jeetashree  Aparajeeta,Siksha O Anusandhan (Deemed to be University)
Maoyuan Sun,University of Massachusetts Dartmouth
Kiyoshi Nakayama,"NEC Laboratories America, Inc."
Balamurugan Annamalai,Indian Institute of Management Sambalpur
Shabana Chandrasekaran,Xavier University Bhubaneswar
Song Gao,University of Wisconsin-Madison
Nadir Weibel,"University of California, San Diego"
Christian Lander,German Research Center for Artificial Intelligence (DFKI)
Joy Dutta,Jadavpur University
Ugur Kuter,Smart Information Flow Technologies
Jano Van Hemert,Optos plc
Samhaa R El-Beltagy,New Giza University
Ralf Seepold,Hochschule Konstanz University of Applied Sciences
Toshihiro Kamishima,National Institute of Advanced Industrial Science and Technology
Bhanu  Prasad,Florida Agricultural and Mechanical University
V. Estivill-Castro,Griffith University
Gerhard W Weber,Technical University of Dresden
Xiaodi Huang,Charles Sturt University
Professor Aladdin Ayesh,De Montfort University
Urmila Shrawankar,"G.H. Raisoni College of Engineering, Nagpur"
Mozaherul Hoque Abul Hasanat,Al-Imam Mohammad Ibn Saud Islamic University
Ahmad T. Al-Taani,Yarmouk University
Juan Villegas-Cortez,Metropolitan Autonomous University - Azcapotzalco
K. Venkatalakshmi,Anna University
Fei Liu,Brandenburg University of Technology Cottbus
Michael O. Lam,James Madison University
Fábio Araújo,Federal University of Rio Grande do Norte
Hessam Jahani Fariman,Macquarie University
Roberto  Marroquin,Bourgogne Franche-Comté University
Ruchdee Binmad,Dalian University of Technology
Haizhen  Jiao,Beijing University of Posts and Telecommunications
Catur Supriyanto,Universitas Dian Nuswantoro
Daniel Costa Valerio,Polytechnic Institute of Bragança
Xingqian Li,Jilin University
Sergio Luján-Mora,University of Alicante
P. K. Atrey,State University of New York Albany
Bin Liu,IBM Thomas J. Watson Research Center
Swapnil Mishra,The Australian National University
Margaret Rhee,University of Oregon
J. Tordsson,Umeå University
A. Chapoutot,National School of Advanced Techniques
Praveen R Kumar,Texas A&M University
Wen-Loong Ma,California Institute of Technology
Kewei Cheng,Arizona State University
Manish Parashar,The University of Utah
Qusay H. Mahmoud,Ontario Tech University
Wilson Akio Higashino,Western University
Masato Oguchi,Ochanomizu University
Eduardo Mena,University of Zaragoza
Chih-Pin Hsiao,Georgia Institute of Technology
Michele Polese,Northeastern University
Komal Komal,Monash University
Chawthet  Zan,Waseda University
Michael Hahsler,Southern Methodist University
Andrea Schaerf,University of Udine
Steve Maddock,The University of Sheffield
Robert Krauthgamer,Weizmann Institute of Science Israel
Tyler Moore,The University of Tulsa
S. Patil,"University of California, Berkeley"
Robin Aly,Schenker AG
Li Xu,SenseTime Group Limited
Jagdeep Kaur,Thapar Institute of Engineering & Technology
Michael Gertz,Heidelberg University
Dirk Ahlers,Norwegian University of Science and Technology
Marilyn Wolf,Georgia Institute of Technology
Chalermpol Tapsai,King Mongkut's University of Technology North Bangkok
Jonilyn A Tejada Dabalos,University of the Immaculate Conception
Ma.Corazon Fernando Raguro,FEU Institute of Technology
Glenn Paul Gara,University of the Immaculate Conception
Mark Pauly,EPFL
Ming C Lin,The University of North Carolina at Chapel Hill
Giljoo  Nam,Korea Advanced Institute of Science and Technology
Arnab Bhattacharya,Indian Institute of Technology Kanpur
Shubhadip  Mitra,Indian Institute of Technology Kanpur
Peter Lightbody,University of Lincoln
Linghao  Song,Duke University
Kamesh Madduri,Pennsylvania State University
Ethan L. Miller,"University of California, Santa Cruz"
Darrell D.  E. Long,Baskin School of Engineering
Andreas Mang,University of Houston
Steven R Young,Oak Ridge National Laboratory
Saurabh Gupta,"Amazon.com, Inc."
Takashi Miyaki,The University of Tokyo
Mar Gonzalez-Franco,Google LLC
Alper Yilmaz,The Ohio State University
Vaibhav  Kulkarni,University of Lausanne
Jiang  Wang,National University of Defense Technology China
John M. Boyer,IBM Canada Ltd.
Yue Shi,Yahoo Research Labs
Bharat Bhasker,Indian Institute of Management Indore
Hamza Harkous,Google LLC
Shadi Khalifa,Queen’s University
Xin Li,Tsinghua University
Fabio  Bettini,Free University of Bozen-Bolzano
Ioannis Chatzigiannakis,Sapienza University of Rome
Binbin Chen,Singapore University of Technology and Design
Liandong Li,Beijing Normal University
Gul Nawaz Khan,Toronto Metropolitan University
Patrick Horain,Telecom & Management SudParis
Paul Baxter,University of Lincoln
Ariadi Nugroho,Bina Nusantara University
Boaz Nadler,Weizmann Institute of Science Israel
G. Santhosh Kumar,Cochin University of Science and Technology
Meng Jiang,University of Illinois Urbana-Champaign
Muhammad Obaidullah,Utsunomiya University
Vijayalakshmi  Ramasamy,University of Wisconsin-Parkside
S Udhaya Kumar,Vellore Institute of Technology
Ravi  Sahita,Intel Corporation
Pablo  Moriano,Oak Ridge National Laboratory
Ichiro Fuinaga,McGill University
Mordechai (Moti) Ben-Ari,Weizmann Institute of Science Israel
Brendan Jou,Google LLC
Birte Carlmeyer,Bielefeld University
Jonas Schild,Technology Arts Sciences TH Köln
Axel Carlier,University of Toulouse
Thiru M Annaswamy,Penn State Health Milton S. Hershey Medical Center
Toan H. Vu,National Central University
Steffen Thoma,FZI Research Computer Science Research Center Karlsruhe
Dingzeyu Li,Columbia University
V. Evers,University of Twente
Michel A Kinsy,Arizona State University
Brandon Taylor,Carnegie Mellon University
Megan Hardy,New York University
Ted Hsuan Yun Chen,Pennsylvania State University
Rafael Pastor-Vargas,National Distance Education University
Santiago González Izard,University of Salamanca
Juan Carlos Lázaro,National Distance Education University
